dataset,genotype,camera,datetime,setup,filename,fly_id,is_male,total_frames,nan_frames,valid_frames,nan_percentage,recording_duration_sec,nan_time_sec,nan_time_min,frame_rate
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,1,False,432000,22819,409181,5.282175925925926,7199.983,380.3166490593729,6.338610817656215,60.00000277778433
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,2,False,432000,23139,408861,5.35625,7199.983,385.649982145792,6.427499702429867,60.00000277778433
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,3,True,432000,22885,409115,5.297453703703703,7199.983,381.4166490084468,6.35694415014078,60.00000277778433
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,4,False,432000,47665,384335,11.033564814814815,7199.983,794.4166298880322,13.240277164800537,60.00000277778433
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,5,False,432000,52470,379530,12.145833333333334,7199.983,874.4999595137953,14.574999325229921,60.00000277778433
dataset_1,DGRP375,CamA,2026-01-15T16,N/A,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,6,False,432000,95,431905,0.02199074074074074,7199.983,1.5833332600306946,0.026388887667178243,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,1,True,432000,83032,348968,19.22037037037037,7199.983,1383.8666025986172,23.06444337664362,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,2,False,432000,37874,394126,8.76712962962963,7199.983,631.2333041095003,10.52055506849167,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,3,False,432000,2286,429714,0.5291666666666667,7199.983,38.099998236107034,0.6349999706017839,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,4,False,432000,829,431171,0.19189814814814815,7199.983,13.816666027004693,0.23027776711674489,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,5,False,432000,68448,363552,15.844444444444445,7199.983,1140.799947185063,19.013332453084384,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T08,N/A,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,6,False,432000,13618,418382,3.152314814814815,7199.983,226.96665615892633,3.782777602648772,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,1,False,432000,47,431953,0.01087962962962963,7199.983,0.7833332970678174,0.01305555495113029,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,2,True,432000,35364,396636,8.18611111111111,7199.983,589.3999727128999,9.823332878548332,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,3,False,432000,27,431973,0.00625,7199.983,0.4499999791666185,0.007499999652776975,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,4,False,432000,8094,423906,1.873611111111111,7199.983,134.8999937546152,2.2483332292435865,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,5,False,432000,546,431454,0.12638888888888888,7199.983,9.099999578702729,0.15166665964504547,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-12T15,N/A,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,6,False,432000,47,431953,0.01087962962962963,7199.983,0.7833332970678174,0.01305555495113029,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,1,True,432000,175,431825,0.04050925925925926,7199.983,2.91666653163549,0.0486111088605915,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,2,False,432000,26,431974,0.0060185185185185185,7199.983,0.43333331327155855,0.0072222218878593095,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,3,False,432000,106,431894,0.024537037037037034,7199.983,1.766666584876354,0.02944444308127257,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,4,False,432000,534,431466,0.1236111111111111,7199.983,8.899999587962009,0.14833332646603348,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,5,False,432000,117,431883,0.02708333333333333,7199.983,1.9499999097220133,0.03249999849536689,60.00000277778433
